,temp,hum,heat,dewPoint,tiempo
249,21.2999992,13.9679604,21.130342499999998,63.0,1595634660000
250,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634720000
251,21.2999992,13.9679604,21.130342499999998,63.0,1595634780000
252,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634840000
253,21.2999992,13.9679604,21.130342499999998,63.0,1595634900000
254,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634960000
255,21.2999992,13.9679604,21.130342499999998,63.0,1595635020000
256,21.3999996,14.062490900000002,21.240339300000002,63.0,1595635080000
257,21.2999992,13.9679604,21.130342499999998,63.0,1595635140000
258,21.2999992,13.9679604,21.130342499999998,63.0,1595635200000
259,21.1000004,13.7788953,20.910347,63.0,1595635260000
260,21.2999992,13.9679604,21.130342499999998,63.0,1595635320000
261,21.2999992,13.9679604,21.130342499999998,63.0,1595635380000
262,21.2999992,13.9679604,21.130342499999998,63.0,1595635440000
263,21.2999992,13.9679604,21.130342499999998,63.0,1595635500000
264,21.2999992,13.9679604,21.130342499999998,63.0,1595635560000
265,21.3999996,14.062490900000002,21.240339300000002,63.0,1595635620000
266,21.2999992,13.9679604,21.130342499999998,63.0,1595635680000
267,21.2999992,13.9679604,21.130342499999998,63.0,1595635740000
268,21.2999992,13.9679604,21.130342499999998,63.0,1595635800000
269,21.2999992,13.9679604,21.130342499999998,63.0,1595635860000
270,21.3999996,14.062490900000002,21.240339300000002,63.0,1595635920000
271,21.2999992,14.2111712,21.1564522,64.0,1595635980000
272,21.3999996,14.062490900000002,21.240339300000002,63.0,1595636040000
273,21.2999992,13.9679604,21.130342499999998,63.0,1595636100000
274,21.3999996,14.062490900000002,21.240339300000002,63.0,1595636160000
275,21.2999992,13.9679604,21.130342499999998,63.0,1595636220000
276,21.3999996,14.062490900000002,21.240339300000002,63.0,1595636280000
277,21.2999992,13.9679604,21.130342499999998,63.0,1595636340000
278,21.2999992,13.9679604,21.130342499999998,63.0,1595636400000
279,21.2999992,13.9679604,21.130342499999998,63.0,1595636460000
280,21.2999992,13.9679604,21.130342499999998,63.0,1595636520000
281,21.3999996,14.062490900000002,21.240339300000002,63.0,1595636580000
282,21.2999992,14.2111712,21.1564522,64.0,1595636640000
283,21.2999992,-6.4181461,19.8770237,15.0,1595636700000
284,21.2999992,14.451061,21.1825638,65.0,1595636760000
285,21.2999992,14.451061,21.1825638,65.0,1595636820000
286,21.2999992,14.2111712,21.1564522,64.0,1595636880000
